NPRI_id,province,latitude,longitude
21108,AB,51.6397,-110.0897
21109,AB,52.3341,-113.0961
21110,AB,54.4143,-110.3263
21111,AB,54.3795,-117.2107
21112,AB,55.8746,-116.3795
21113,SK,49.35,-101.8
21114,AB,52.1956,-112.1418
21115,AB,54.3206,-112.3663
21116,AB,52.3595,-112.845
21117,BC,56.85,-121.55
21119,AB,54.8669,-118.7981
21120,AB,54.7143,-118.67
21121,AB,54.285,-116.8859
21122,AB,52.3304,-113.0677
21123,AB,52.3375,-113.0425
21124,AB,57.1791,-119.983
21125,BC,59.4,-120.75
21126,AB,55.7754,-113.7465
21127,SK,49.25,-102.1
21128,BC,54.3,-122.85
21129,AB,54.4307,-118.6514
21130,AB,53.4849,-116.9218
21131,AB,49.1465,-111.5281
21132,AB,49.011053,-111.465938
21133,SK,52.65,-109.8
20009,BC,50.704,-120.3335
20010,BC,49.9184,-119.4044
20011,BC,49.1524,-122.8649
20012,BC,49.1386,-123.0123
20013,BC,49.4744,-119.5763
20014,BC,49.184,-122.6684
20015,BC,49.2665,-123.1035
20016,BC,54.014177,-124.054687
20017,BC,49.8792,-119.4583
20018,BC,49.2792,-123.0784
20019,BC,49.33591,-117.72737
20020,BC,49.0036,-118.807
20021,BC,49.02552,-118.4373
20022,BC,49.1153,-122.6622
20023,BC,49.3063,-123.0109
20024,BC,49.173326,-122.94185
20025,BC,50.5953,-127.1601
20026,BC,50.01615,-125.359308
20027,BC,50.2437,-118.9659
20028,BC,57.0355,-122.007
20029,BC,49.1948,-123.179
20030,BC,48.6427,-123.42009
20031,BC,49.1211,-122.0084
20032,BC,49.1496,-122.9955
20033,BC,49.1447,-122.865
20034,BC,53.9257,-122.7471
20035,BC,49.15766,-123.9247
20036,BC,49.0031,-123.8258
20037,BC,49.00127,-123.8209
20038,BC,48.761173,-123.63877
20039,BC,50.9873,-118.1998
20040,SK,54.090806,-108.097826
20041,BC,52.7972,-119.2378
20042,BC,49.087806,-122.995392
20043,BC,57.3141,-122.1093
20045,BC,57.4054,-122.2323
20046,BC,54.8136,-120.3897
20047,BC,57.3785,-122.0739
20048,BC,57.282,-122.1191
20049,BC,55.4054,-120.6779
20050,BC,55.3375,-120.3312
20051,BC,49.141,-123.0074
20052,BC,49.1919,-123.0895
20053,BC,49.478185,-123.743758
20054,BC,48.4003,-123.4908
20055,BC,49.1609,-122.9635
20056,BC,54.2881,-122.6153
20057,BC,54.89366,-120.670869
20058,BC,54.6603,-127.1194
20059,BC,54.3039,-125.7494
20060,BC,54.1306,-124.1569
20061,BC,57.3382,-122.6722
20062,BC,49.31366,-123.10741
20063,BC,49.2852,-123.1
20064,BC,49.232428,-122.843673
20065,BC,49.2055,-123.1452
20066,BC,49.4889,-123.758
20067,BC,49.8588,-124.5022
20068,BC,49.1577,-121.9509
